US,UK,ROU,POL,NL,MEX,ITA,FRE,SPA,GER,CZE,BRA
anus,asshat,futut,qurv,Aambeienschoffelaar,,culattone (masc. noun),canabis,,penis,debilní,fudidinha
arsch,asshats,frecat,qurw,Aardappelhoer,,culo,Cannabis,,penner,dementní,fudidinho
arschficken,asshole,ars,sperma,Aarsbeffer,,di merda,cannabis,,pimmel,zasraný,fudido
arschlecker,assholes,poponar,spermo,Anaalgeneraal,,ditalino,chiante,,pisse,zasraná,fudidona
arschloch,asslicked,pisat,sukin,Anaalgarnaal,,fica,chiasse,,popper,zasrané,karaio
arse,asslicker,limbi,www.,Anaaljager,,figa,chiasses,,rektal,zkurvený,karalho
Arse,asslickers,limbist,youporn,Anaalkabaal,,figlio di puttana,chier,,rosete,zkurvená,merda
arsed,asslicking,gaozar,zjeb,Anaalridder,,finocchio,chies,,rosette,zkurvené,phoda
arseface,assrape,bulangiu,chuj,Anaaltoerist,,fottere,chimboz,,schamlippen,buzerovat,piroca
arsehole,assraped,cocalar,ciota,Anusgezwel,,fottersi,chiotte,,scheiße,jebat,piroka
arseholes,assraper,sloboz,cioto,Anusgezicht,,fregna,chiottes,,scheisse,jebu,porra
arselicked,assrapers,boschetar,cioty,Anushoofd,,frocio,chis,,schlampe,jebeš,punheta
arselicker,assrapes,pulica,cipa,Kringspiermusketier,,incazzarsi,ch'tah,,schniedel,jebe,punheteiro
arselickers,assraping,penis,cipo,Anuslikkendekontkever,,incoglionirsi,cocain,,sex,jebal,punhetero
arselicking,asswipe,scula,kureski,Anuslikker,,ingoio,cocaine,,shit,mrdat,puta
assbag,auschwitz,mataranga,kurestwo,Anusnicht,,leccaculo,cocaine,,slut,mrdám,viado
assbandit,asswipes,mufa,pedal,Apekut,,lecchino,cocaine,,sperma,mrdáš,xereca
assbanger,azzhole,lindic,pedal,Baggerhoer,,loffa,Cochonne,,stricher,mrdá,xoxota
assclown,b!tch,cordeala,zzzzzfiles,Baggerslet,,loffare,cock,,suck,mrdal,nazismo
assface,b00b,futai,zzzzzfiles,Bakhoer,,mannaggia!,cokaine,,titte,posrat,nazista
assfuck,b00bs,scarna,,Baklap,,merda,coke,,tripper,poseru,hitler
assfucked,b17ch,popou,,Bak slet,,merdata,coke,,trottel,pesere,binladen
assfucker,b1tch,rahat,,Ballenlikker,,merdoso,conar,,tube8,posral,bin laden
assfuckers,ballbag,sula,,Balneuker,,mignotta,conard,,vagina,srát,osama
assgoblin,ballbags,stromeleag,,Balzak,,minchia,conards,,votze,seru,al qaeda
asshat,ballox,fofoloanca,,Battyboy,,minchione,conart,,whore,sere,orgasmo
asshead,bambaclaat,cuc,,Befbek,,mona,conarts,,wichs,šukat,masturbar
asshole,bambaclaats,basinos,,Befhoer,,palle,conasse,,wixx,šukám,masturbei
assholes,barstard,tigan,,Befkikker,,palloso,conasses,,www.,šukáš,masturbando
asslicked,barstards,bozgor,,Befkoning,,pecorina,connace,,youporn,šuká,masturbou
asslicker,bastard,hahalera,,Befslet,,pippone,connar,,zuhälter,šukal,b1ch4
asslickers,bastards,pramatie,,Befsmurf,,pipì,connar,,Aa Gesicht,péro,b1l4u
asslicking,basturd,a$$h0l3,,Befsnol,,pirla,connard,,Aa Lutscher,penis,b1scate
asspirate,basturds,a$$hole,,Beftackle,,pisciare,connart,,Aa Wurst,kokot,bisk4te
assrape,bawbag,abspritzer,,Beftekkel,,piscio,connarts,,Aasfresser,vagína,boc3ta
assraped,bawbags,adolf,,Bejaardehoer,,pisello,connasse,,Abortschüsseltaucher,vagíny,boqu3t3
assrapes,beanflicker,anal,,Bekschurft,,pistolotto,connasses,,Abschaum,pi?a,bucet4
assraping,beanflickers,anfänger,,Berenlul,,pompino,conne,,Abscheißer,pi?e,c4c3t3
asswipe,beanflicking,arsch,,Bermslet,,porco dio,connerie,,Abspritzer,hovno,c4g4d4
azzhole,beefcurtains,arschficken,,Blondehoer,,porca madonna,conneries,,Abwasserschlüfer,hovna,c4g4o
b!tch,beejay,arschlecker,,Blubberkut,,porca miseria,connes,,Abwasserspucker,prso,c4g4r
b00bs,beejays,arschloch,,Hufter,,porca puttana,couille,,Achselhöhlenforscher,prsa,c4guei
b17ch,belsen,assface,,Boerenlul,,porca,couilles,,Achsellecker,cecky,c4r410
b1tch,bi+ch,assfuck,,Boerenpummel,,Porco due,cu,,Achselschweißfontaine,pojeb,c4r410
ballox,biatch,asshat,,Bosaap,,Porco zio,cul,,Achterbahnkotzer,vyjebat,c4r4lh0
bastard,biatches,asshole,,Bosbeffer,,puttana,cul,,Ackerfresse,vyjebu,ch0ch0t4
beaner,bitch,assholes,,Camperhoer,,recchione,cuni,,Affenfurchenfetischist,vyjebeš,kú
bi+ch,bitchass,asswipe,,Campingslet,,ricchione,cunni,,Affengesicht,vyjebe,kusao
biatch,bitched,azzhole,,Campinghoer,,rincoglionire,dahwa,,Affenhoden,vyjebal,cus4o
billing,bitches,b!tch,,Capsonestrut,,rompiballe,dick,,Affenlecker,vyjebeli,cuz4o
bitch,bitching,b*tch,,Capsoneslijer,,rompipalle,dick,,Affenpenissauger,prd,cuzões
bitchass,bitchs,b00bs,,Chatnicht,,sbattersi,dilatation,,Affenprinz,mrdat,fod4
bitched,bitchslap,b17ch,,Chocohoer,,sborra,dilate,,Affenschwanzlutscher,mrdal,fod4-se
bitches,bitchy,b1tch,,Crackhoer,,sborrata,dilatee,,Affenvergewaltiger,mrdám,fod1dão
bitching,bj,bastard,,Cyberslet,,scopare,dilater,,Affenvisage,homo,b1n l4d3n
bitchs,bj's,bi+ch,,Cybersnol,,scopata,dilater,,Afterabschmatzer,gay,b1nl4d3n
bitchtits,bjs,biatch,,Cyberhoer,,scorreggiare,dilatte,,Afteratmer,kokutek,b1sc4t3
bitchy,blowjob,billing,,Damhoer,,sega,dilatter,,Aftergeißel,blb,bichas
blowjob,blowjobs,bitch,,Darmneuker,,segaiolo,drug,,Aftergelehrter,prdílka,boc3t4
blowjobs,bltch,bitchass,,Dekslet,,slinguare,ducon,,Afterhöhlenbewohner,svin?,bocet4
bltch,ballock,bitches,,Dijkhoer,,slinguata,ejac,,Afterhöhlenforscher,smrad,boquet3
bollocks,ballocks,bitchy,,Dildo,,Smandrappata,éjacul,,Afterhölenforscher,sere,buc3t4
bollocks,bollock,blowjob,,Kontenneuker,,Smandrappona,ejaculation,,Afterhöleninspektor,hajzl,cu
bollox,bollocked,blowjobs,,Drempelkut,,Sorca,éjaculation,,Afterhöllenfrosch,hovado,cus4o
bolloxed,bollockface,bltch,,Teef,,spagnola,ejacule,,Afterkopf,negr,cusões
boner,bollockhead,boobs,,Dropkut,,spompinare,ejaculer,,Afterkriecher,cigán,fod1d1nh4
boobs,bollocking,buceta,,Droplul,,sticchio,éjaculer,,Afterloser,komouš,fod1d1nho
brotherfucker,bollocks,bullshit,,Druiloor,,stronza,ejacules,,Afterschleimhautfalte,teplouš,fod1do
buceta,bollox,buttface,,Eikel,,stronzata,emmerd,,Afterschlürfer,nácek,fod1don4
bullcrap,bolloxed,buttfuck,,Eikeltumor,,stronzo,emmerdant,,Afterstöpsel,nácci,foda se
bullshit,bolloxs,butthead,,Eikellikker,,sveltina,emmerdante,,age of empires,b?hna,fud1d1nh4
bullshiter,boner,butthole,,Etterbak,,sverginare,emmerde,,aldi,b?hny,fud1d1nho
bullshitter,bong,buttlick,,Ezelslul,,Tarzanello,emmerdes,,Algenkotzer,šulin,fud1d4
bullshitting,bongs,buttwipe,,Ezelskut,,terrone,emmerdez,,Alpenfutt,coura,fud1dão
buttface,boobs,c0ck,,Flapkut,,testa di cazzo,encul,,Alphornsauger,v?l,fud1do
buttfuck,buceta,c0cksucker,,Flathoer,,testa di minchia,encule,,Amöbenbefruchter,volové,fud1dona
buttfucka,bugger,candyass,,Flatslet,,tette,enculé,,Anabolikafratze,magor,h1tler
buttfucker,buggered,chink,,Flikker,,topa,enculent,,anal(?!y),mago?i,k4cete
butthead,buggering,chinks,,Flubberkut,,troia,enculer,,Anbläser,pako,k4r410
butthole,buggerred,cipa,,Flutkut,,trombare,encules,,anus,paka,k4r4lh0
buttlick,buggerring,clit,,Fuckingkutkop,,vacca,enflure,,Apflussfresser,pablb,kcte
buttplug,buggerry,clito,,Gambaslet,,vaffanculo,enfoir,,Apflusslecker,Hitler,ku
Buttsex,buggers,clits,,Anuskanibaal,,vangare,enfoire,,Apflusssammler,Stalin,kus4o
buttwipe,buggery,cock,,Strontbosaap,,zinne,enfoires,,Archpickel,Gestapo,kuzão
c0ck,bukkake,cocks,,Kuthoer,,zoccola,engeuuler,,Aschenbecherlecker,zplynovat,m3rd4
c0cksucker,bullcrap,cocksucker,,Boomschorsbeffer,,,engueule,,Aschenbecherputzer,zplunuje,m4sturbando
cameltoe,bullshit,cocksuckers,,Geitebeffer,,,engueulent,,asshole,zplynoval,m4sturbar
candyass,bullshiter,cojones,,Geitekut,,,Erection,,Assi,?aman,m4sturbei
carpetmuncher,bullshitter,coon,,Geitelul,,,Extasi,,Atommüllfresser,židák,m4sturbou
chesticle,bullshitting,cornhole,,Geitepijper,,,Extasy,,Ausgeburt der Hölle,židáci,n4zismo
chinc,bumfucker,cracker,,Geitenbaffer,,,facho,,Ausschlauch,cigoš,n4zista
chink,bumfuckers,cunt,,Geitenbeffer,,,fdp,,Axelschweißlecker,cvok,org4smo
chinkee,bumspud,cunts,,Geitenneuker,,,fecal,,Bastard,cvoci,os4ma
chinkie,bumspuds,d!ck,,Geitenwipper,,,felation,,Bauerntölpel,trouba,phod4
chinks,buttface,d1ck,,Baarmoederschimmel,,,fellation,,Bauerntrampel,troubové,piroc4
chinky,buttfuck,dick,,Kutkind,,,fellation,,Beidl,šupák,pirok4
Chit,buttfucks,dickhead,,Gladiool,,,filsdepute,,Bescheißer,šupáci,porr4
choad,butthead,dickheads,,Glibberkut,,,fiote,,Bettnässer,moula,punhet4
cipa,buttheads,dike,,Godverdomme,,,fiotes,,Biatch,moulové,put4
clit,butthole,dildo,,Grafbak,,,fiotte,,Bindenablecker,zr?da,put4s
clitface,buttholes,dingleberries,,Grafhoer,,,fiottes,,bitch,zr?dy,v1ado
clito,buttlick,dingleberry,,Grafkop,,,fist,,Blasehase,vocas,viados
clitoris,buttplug,dipshit,,Grafkut,,,foufe,,Blöder,degen,x0x0t4
clits,buttplugs,dipshits,,Graflul,,,fouffe,,Blödfurz,mizera,xerec4
cock,buttwipe,djck,,Grafmongool,,,foure,,Blödi,mizerové,al qaeda
cockface,buttwipes,dlck,,Graftak,,,foutrent,,Blödian,pako,assh0le
cockhead,c0ck,dogfucker,,Graftiefusdebiel,,,foutres,,Blödkopf,paka,asshole
cockmaster,c0cks,doggiestyle,,Graskaffer,,,fouttre,,Blödkröte,trotl,b00b
cockmongler,c0cksucker,doggystyle,,Gratenkut,,,fouttres,,Blödmann,spratek,b00bies
cockmongruel,c0cksuckers,domina,,Greppelbeffer,,,fuck,,Blödmannsgehilfe,spratci,b1n l4den
cockmuncher,c0cksucking,dong,,Greppelhoer,,,fuck,,Blödpups,trdlo,b1n laden
cocks,cameltoe,douche,,Greppelslet,,,Fucked,,Blödsack,úchyl,b1nl4den
cocksmoke,candyass,douchebag,,Greppelsletten,,,Fucker,,Blödschädel,blbe?ek,b1nladen
cocksucker,carpetmuncher,douchebags,,Kankerhomo,,,Fucking,,Blödsocke,blbe?ci,b1tches
cocksuckers,carpetmunchers,douches,,Hemahoer,,,fumier,,Blödvogel,blbci,b1tch
cocksucking,chickenchoker,doudounes,,Hoerenkut,,,fumiers,,Bocksau,mamlas,bin laden
cojones,chickenchokers,dyke,,Hoerenloper,,,Gangbang,,Bratzbacke,pedo,binladen
coochie,chink,dykes,,Horenzoon,,,genital,,Bratze,pedofil,bitch
Coochie,chinkee,ejaculate,,Homo,,,gerb,,brauner Salong,pedofilní,bitches
coon,chinkees,ejakulate,,Homofiel,,,gerbe,,Bückstück,pizizubka,bitches
coons,chinkie,f0ck,,Homokut,,,gerbe,,Bumsbirne,slizoun,blow job
cooter,chinkies,fachar,,Homohoer,,,gerbee,,Bumsfrikadelle,retard,blowjob
cornhole,chinks,fag,,Homonaaier,,,gerber,,Bumskarnickel,ohava,boob
cracker,chinky,faggot,,Hondekut,,,gmail,,Bumskopf,k?ivák,boobies
Crackwhore,cipa,faggots,,Hondelul,,,gouinasse,,Bumskuh,pob?hlice,c0ck
crap,clit,fags,,Hondenneuker,,,gouinasses,,Bumsnudel,prevít,c0ck sucker
crapping,clito,fatass,,Hondenzak,,,gouine,,Bumsschädel,imbecil,cock
creamed,clitoris,fcuk,,Huppelkut,,,gouines,,Bumsschnalle,držka,cocksucker
creamy,clits,fcukoff,,Huppelkutje,,,gouinne,,camel toe,držky,cock-sucker
cum,cocaine,fcukyou,,Huppeltrut,,,gouinnes,,carpetmuncher,?adro,cum
cumbubble,cock,felch,,Huppelslet,,,grognasse,,chinc,?adra,cunt
cumdumpster,cockhead,feltch,,Ijslul,,,grognasses,,chink,psychopat,d1ck
cumguzzler,cockjockey,fitta,,Imbiciel,,,grogniasse,,choad,hajzlík,d1cks
cums,cockknocker,fittafis,,Internetslet,,,grogniasse,,chode,hovadina,dick
cumslut,cockknockers,fittansikte,,Ingegroeidekonthaar,,,gueule,,clit,prostitutka,dicks
cunnilingus,cocks,fittslickare,,Pornokabouter,,,gueuler,,clitface,prostitutky,f4g
cunt,cocksucker,fittytuck,,Janlul,,,hack,,clitfuck,špekoun,f4ggots
cuntass,cocksuckers,fittytucking,,Jetslet,,,hacker,,clusterfuck,homosexual,f4gs
cuntface,cocksucking,flansost,,Jodenneuker,,,hacking,,coochie,vole,fag
cuntface,cojones,flata,,Kaaskop,,,hagoune,,coochy,kundo,faggot
cunthole,coon,fock,,Kaasnicht,,,hammalle,,coon,kurvo,faggots
cuntrag,coons,follar,,Kakteef,,,hataille,,cooter,kriple,fags
cunts,cornhole,foquin,,Kamelenlul,,,Heil,,cracker,idiote,fuck
d!ck,cornholes,fottere,,Katoenplukker,,,heroine,,cultures,krávo,fucker
d1ck,crap,fottersi,,Kermissletje,,,herpes,,cum,grázle,fuckin
D1ldo,crapped,fotze,,Klapkut,,,Hitler,,cunnie,zvratko,fucking
damn,crapper,foutre,,Kleefkut,,,hmal,,cunnilingus,ohavo,fuk
Damn,crapping,freaking,,Klereflikker,,,hotmail,,cunt,spratku,jack 0ff
damned,creamed,fregna,,Klompenkut,,,incest,,dago,neg?e,jack off
dick,creamy,friggin,,Kloot,,,inceste,,deggo,degene,jack0ff
dickface,cum,frikking,,Klootbek,,,incestueuse,,Depp,pi?ko,jackoff
dickfucker,cumbucket,frocio,,Kloothommel,,,incestueux,,Dickschwein,moulo,jerk 0ff
dickhead,cumguzzler,froscio,,Kloothoofd,,,inch'allah,,die stämme,pi?o,jerk off
dickheads,cumguzzlers,fucing,,Klootjavaan,,,joint,,dike,debile,jerk0ff
dicks,cumguzzling,fuck,,Klootviool,,,junkie,,dildo,demente,jerkoff
dicksucking,cums,fucked,,Klotehufter,,,Kanaille,,dipshit,zkuvysyn,kunt
dickweasel,cumslut,fucker,,Klotelul,,,kehba,,doochbag,zkurvysyne,masterbate
dickweed,cumsluts,fuckers,,Knalkut,,,kehbaa,,doofe ohren,ichtil,masterbating
Dickweed,cunnilingus,fuckhead,,Kneus,,,kehbba,,Doofmannsgehilfe,ichtile,masterbation
dike,cunt,fuckin,,Knevelkut,,,kkehba,,dookie,tupec,masturbate
dildo,cuntface,fucking,,Knurftschurft,,,kkk,,douche,tup?e,masturbating
dildo,cunts,fuckoff,,Kofferhoer,,,klitoris,,Dreckfresse,xicht,masturbation
dingleberries,cuntsmasher,fucks,,Kontenneuker,,,lesbien,,Dreckfresser,xichte,nazi
dingleberry,cuntsmashers,fuckyou,,Konthaareter,,,lesbienne,,Dreckhaufen,ksich,org4sm
dipshit,cuntsmuggler,fudgepacka,,Konthaarvlechter,,,Lucifer,,Drecksack,ksichte,orgasm
dipshits,cuntsmugglers,fudgepacker,,Konthoer,,,mange-merde,,drecksau,buzík,os4m4
djck,cuntsmuggling,fudgepacking,,Kontridder,,,Marijuana,,dreckschwein,bukvice,osama
dlck,cuntybollocked,fuk,,Kruipneger,,,marijuana,,Dreckseumel,pi?i,oz4m4
dogfucker,cuntybollocks,fux0r,,Neger,,,mari-juana,,Drecksfresse,kokain,ozama
doggiestyle,d!ck,gangbang,,Kutaap,,,masochism,,Drecksgöre,heroin,phuck
doggystyle,d1ck,gay,,Kutbelg,,,masochism,,Dreckshaufen,marjánka,phucker
domina,dachau,göbbels,,Kutbeffer,,,masochisme,,Dreckshund,marihuana,phuckin
dong,dick,goddamn,,Clitoris,,,masochiste,,Dreckskerl,meth,phucking
doochebag,dicked,goddamnit,,Kutgast,,,masturb,,Drecksstück,metamfetamin,phuk
douche,dickhead,goddamn,,Kutjebef,,,masturbation,,Dreckstück,LSD,pussy
douchebag,dickheads,goddamnit,,Beffen,,,masturbe,,Drecksverhurter,opium,sh1t
douchebags,dicking,goebbels,,Piemel,,,masturber,,Drecksviech,kodein,shit
douches,dicks,gook,,Balzak,,,merde,,Dreilochstute,é?ko,sk4nk
doudounes,dickwad,gooks,,Kutje,,,merdeuse,,Drogenopferkörper,MDMA,skank
dumass,dickwads,hackfresse,,Kutkop,,,merdeuses,,Drogenticker,valium,slut
dumbass,dike,himmler,,Kutlul,,,merdeux,,Drüberrutscher,xanax,son of a b1tch
dumbcunt,dikes,hitler,,Kuttelikker,,,mouk,,dumass,pervitin,son of a bitch
dumbcunts,dildo,hoe,,Kuttelikkertje,,,nardin,,dumb,konopí,son-of-a-b1tch
dumbfuck,dildoes,hoer,,Kutmongool,,,nardin,,Dumbatz,toluen,son-of-a-bitch
Dumbfucker,dildos,homo,,Kuttekrabber,,,nardin-o-mouk,,dumm,chlast,sons of b1tches
dumbshit,dingleberries,hooters,,Kutslet,,,narl,,Dumpfbacke,víno,sons of bitches
Dumbshit,dingleberry,hore,,Kutwijf,,,Nazi,,Dumpfhuhn,rum,sucker
dunecoon,dipshit,hore,,Laagvliegendestrondbaviaan,,,nazzi,,Dumpfsack,slivovice,suckers
Dunecoon,dipshits,horney,,Lafbek,,,negre,,dünnschiss,absint,test1cle
dyke,djck,horny,,Lamlul,,,negres,,dünnschiß,absinth,test1cles
dykes,dlck,http,,Lamzak,,,nègres,,durchfall,vodka,testicle
ejaculate,dogfucker,hummer,,Lapzwans,,,negress,,dyke,MILF,testicles
ejakulate,dogfuckers,jackoff,,Latexnicht,,,negresse,,Echofurzer,dildo,wack 0ff
erection,doggers,jackass,,Leprakind,,,negresses,,Eckenscheißer,vibrátor,wack off
Erection,doggiestyle,jacking,,Leprasnikkel,,,ngresse,,Edelsau,anál,wack0ff
f0ck,dogging,jackoff,,Lijkenlikker,,,nibar,,eichelkäse,orál,wackoff
fachar,doggystyle,jackshit,,Lijkenneuker,,,nibard,,Einfaltspinsel,bondage,wh0re
fag,domina,jaji,,Lijkenlikker,,,nichon,,Einzeller,blowjob,whore
fagbag,dong,jazi,,Lijpedildo,,,nichons,,Enddarmmasseur,bukkake,kunt
fagfucker,dongs,jewed,,Baardaap,,,nikomouk,,Erbsenhirn,bukake,nigger
faggit,donkeydick,jidder,,Lompelul,,,nik-o-mouk,,Erektionsopfer,cumshot,niggers
faggot,donkeydicks,jigaboo,,Maaghoer,,,niquent,,escaria,fisting,n1gger
faggots,donkeydickz,jism,,Masturbarie,,,niquer,,fäckal,gangbang,niggah
fags,douche,jizz,,Mastrubeer,,,niques,,fag,lesba,n1ggah
fagtard,douchebag,junglebunnies,,Mestbek,,,ntm,,fäkal,lesbi?ka,Motha Fucker
fatass,douchebags,junglebunny,,Minkukel,,,omouk,,fatass,lesbi?ky,Motha Fuker
fck,douches,kawk,,Miskraamkop,,,omek,,Fazke,hentai,Motha Fukkah
fcuk,doudounes,kike,,Modekut,,,orgasm,,fellatio,masturbace,Motha Fukker
fcukoff,dumbcunt,kyke,,Modetrut,,,orgies,,feltch,masturbuju,Mother Fucker
fcukyou,dumbcunts,l3i+ch,,Modetrutje,,,orgy,,Fettkloß,masturbuješ,Mother Fukah
felch,dyke,l3i+ch,,Moederneuker,,,paidale,,fettkloss,sex,Mother Fuker
fellatio,dykes,l3itch,,Molenteef,,,partouse,,Fettsack,striptýz,Mother Fukkah
feltch,eejit,lesb,,Mongool,,,partouze,,Fettsackmonster,a$$h0l3,Mother Fukker
feltcher,eejits,lesbian,,Natkut,,,pd,,Fettsau,a$$hole,mother-fucker
feltching,ejaculate,lesbisch,,Nattekut,,,pd,,Fettschwein,abspritzer,Mutha Fucker
fitta,ejaculating,lesbo,,Nazihoer,,,pd,,Fettspacken,adolf,Mutha Fukah
fittafis,ejaculator,lez,,Nazikont,,,pd,,Fettwalze,anal,Mutha Fuker
fittansikte,ejakulate,maengele,,Necrofiel,,,pdsexuel,,Fettwanst,anfänger,Mutha Fukkah
fittslickare,erection,mängele,,Negerlul,,,pds,,Fettwanze,arsch,Mutha Fukker
fittytuck,f0ck,masterbat*,,Neukfout,,,ped,,Feuchtfurzanalytiker,arschficken,asswipe
fittytucking,fachar,masterbat3,,Neukgleuf,,,pede,,Fischauge,arschlecker,butthole
flamer,fag,masterbation,,Neukhoofd,,,pederaste,,Flachpfeife,arschloch,buttwipe
flansost,faggot,mastuerzon,,Neukkabouter,,,pederastes,,Flachzange,assface,dild0
flata,faggots,masturbate,,Neukkonijn,,,pedes,,flamer,assfuck,dild0s
fock,faghag,mengele,,Neuknaad,,,pedesexuel,,fleischpeitsche,asshat,dildo
follar,faghags,mofo,,Neuknicht,,,pedesexuels,,Fliegenschiss,asshole,dildos
foquin,fags,monkeyass,,Neukslet,,,pedophil,,Flötenkäse,assholes,dilld0
fottere,fagstag,motharfucker,,Neusneuker,,,pédoque,,Frittengesicht,asswipe,dilld0s
fottersi,fagstags,motharfuka,,Oetlul,,,Penis,,Froschfresse,azzhole,zzzzzzfiles
fotze,fangita,motharfukka,,Omabeffer,,,pénis,,fudgepacker,b!tch,
foutre,fannyfart,Motherf0cker,,Oomneuker,,,pennis,,furz,b*tch,
freaking,fannyfarts,Motherfocker,,Orgasmus,,,Perver,,Galgenvogel,b00bs,
fregna,fannygape,motherfucker,,Ossenkut,,,Pervers,,Gaukler,b17ch,
friggin,fannymouse,motherfuckers,,Paardebeffer,,,perverse,,Gauner,b1tch,
frikking,fannytickler,motherfucking,,Paardekloot,,,petasse,,Geburtsfehler,bastard,
frocio,fannytickler,motherukka,,Paardekut,,,petasse,,Gefisteter,bi+ch,
froscio,faptastic,muschi,,Paardelul,,,pétasse,,Gehirnamputierter,biatch,
fucing,fatass,mutherfuka,,Paardelullo,,,petasses,,genital,billing,
fuck,fck,mutta,,Paardenlul,,,piner,,Gesichtsanus,bitch,
fucked,fcuk,n!gga,,Paardenanus,,,pines,,Gesox,bitchass,
fucker,fcukoff,n!gger,,Paardenpenis,,,pinne,,gg45,bitches,
Fuckering,fcukyou,n*gger,,Paardepenisneuker,,,pinner,,Ghettokind,bitchy,
Fuckermother,feck,n166er,,Paardenpijper,,,pinner,,Glubschauge,blowjob,
fuckers,fecked,n1gga,,Paardenpikkenpoetser,,,pipe,,Glubschi,blowjobs,
fuckface,fecker,n1gger,,Paardenpenislikker,,,piper,,göbbels,bltch,
fuckhead,feckers,n4zi,,Paardenpikkerslikker,,,pipes,,goddamn,boobs,
fuckin,feckin,nazi,,Paardenneuker,,,Piss,,goddamnit,buceta,
fucking,fecking,ngger,,Paashaasneuker,,,pisse,,gooch,bullshit,
fuckit,felch,ni66ar,,Paashaasschaamhaarverzamelaar,,,pissent,,gook,buttface,
fuckoff,felched,ni66er,,Passoaslet,,,pisser,,gringo,buttfuck,
fucks,felcher,ni6ger,,Passoatrut,,,pisses,,Hackfleischfresse,butthead,
fuckstick,felchers,nigga,,Pekelteef,,,porn,,Hackfresse,butthole,
fucktard,felching,niggah,,Penisafhakker,,,Porno,,Hackzahnfresse,buttlick,
